10 4
0 1 119.92793
0 2 180.15869
0 3 160.11044
0 4 139.73398
0 5 208.96266
0 6 136.69614
0 7 111.05815
0 8 177.71107
0 9 172.36284
1 2 190.15161
1 3 164.65929
1 4 184.57487
1 5 174.94472
1 6 152.52644
1 7 108.83794
1 8 168.03398
1 9 191.98332
2 3 167.70306
2 4 136.90945
2 5 157.48483
2 6 147.43427
2 7 175.85333
2 8 170.87923
2 9 162.63135
3 4 203.42480
3 5 196.53130
3 6 189.97679
3 7 181.08044
3 8 167.51593
3 9 181.31795
4 5 175.52554
4 6 160.20787
4 7 158.55630
4 8 185.85530
4 9 151.78621
5 6 197.53072
5 7 179.89006
5 8 164.17995
5 9 200.23534
6 7 147.90625
6 8 192.22940
6 9 215.88092
7 8 169.94585
7 9 163.07207
8 9 196.86223
