 50 5 120
 1 17 71 10
 2 56 13 17
 3 40 29 20
 4 53 6 2
 5 45 25 12
 6 82 65 8
 7 47 80 13
 8 60 70 11
 9 39 65 7
 10 67 93 3
 11 84 6 6
 12 86 18 5
 13 80 42 10
 14 82 34 17
 15 20 95 18
 16 85 75 7
 17 10 90 10
 18 73 100 3
 19 15 36 7
 20 65 51 5
 21 57 46 4
 22 73 12 20
 23 58 65 3
 24 84 73 4
 25 35 51 19
 26 38 73 6
 27 70 89 17
 28 70 56 5
 29 7 63 6
 30 93 90 10
 31 77 14 15
 32 55 18 15
 33 17 45 6
 34 4 38 7
 35 57 64 20
 36 26 45 16
 37 93 62 1
 38 63 68 19
 39 48 90 2
 40 100 94 16
 41 17 59 9
 42 100 57 2
 43 29 81 19
 44 15 39 4
 45 69 44 15
 46 4 4 5
 47 69 61 4
 48 39 67 5
 49 29 58 18
 50 70 69 19

