 50 5 120
 1 3 60 1
 2 68 49 19
 3 81 53 16
 4 62 94 6
 5 1 57 5
 6 7 98 10
 7 24 94 12
 8 59 95 1
 9 19 13 16
 10 70 86 7
 11 94 60 8
 12 66 72 2
 13 70 88 13
 14 98 85 10
 15 4 34 4
 16 47 90 11
 17 71 64 13
 18 97 94 16
 19 51 53 13
 20 91 66 16
 21 83 50 4
 22 30 65 4
 23 90 57 13
 24 11 21 18
 25 72 17 17
 26 72 26 20
 27 32 76 1
 28 18 21 11
 29 84 89 2
 30 41 93 3
 31 51 64 12
 32 51 14 3
 33 47 72 19
 34 90 83 8
 35 21 73 12
 36 86 65 15
 37 86 23 14
 38 76 17 3
 39 67 74 9
 40 7 75 4
 41 55 72 17
 42 89 13 20
 43 28 24 1
 44 54 6 20
 45 94 81 1
 46 59 79 16
 47 54 68 9
 48 28 89 9
 49 1 46 18
 50 21 97 10

