 50 5 120
 1 13 11 20
 2 36 98 9
 3 18 51 15
 4 39 1 15
 5 89 88 8
 6 33 36 11
 7 6 80 5
 8 46 82 19
 9 21 78 6
 10 92 56 6
 11 21 17 19
 12 4 70 17
 13 80 79 3
 14 31 5 5
 15 93 24 12
 16 56 52 8
 17 50 72 6
 18 1 23 11
 19 8 69 20
 20 42 16 2
 21 62 78 20
 22 47 6 7
 23 22 79 14
 24 10 84 6
 25 51 59 13
 26 37 63 12
 27 11 38 10
 28 13 41 5
 29 36 60 7
 30 62 65 11
 31 24 32 11
 32 65 57 20
 33 9 5 13
 34 5 87 7
 35 65 30 16
 36 66 1 20
 37 51 21 6
 38 77 47 20
 39 91 18 20
 40 3 51 1
 41 63 23 10
 42 19 38 1
 43 27 69 8
 44 8 98 15
 45 19 27 8
 46 81 49 9
 47 1 63 10
 48 99 39 20
 49 30 17 6
 50 62 89 7

