30 18
0 1 127.94764
0 2 197.16042
0 3 136.29356
0 4 60.85274
0 5 108.17699
0 6 147.81546
0 7 125.72166
0 8 156.61079
0 9 173.04269
0 10 156.08327
0 11 118.75092
0 12 135.57327
0 13 145.62698
0 14 144.21352
0 15 161.26416
0 16 121.81414
0 17 161.30025
0 18 107.04156
0 19 169.15002
0 20 156.40450
0 21 161.48456
0 22 113.78656
0 23 78.01589
0 24 124.88200
0 25 142.90144
0 26 161.79625
0 27 119.45589
0 28 81.80252
0 29 138.37239
1 2 182.12798
1 3 139.10458
1 4 136.99464
1 5 144.44460
1 6 116.78758
1 7 124.52479
1 8 181.90311
1 9 131.75490
1 10 111.67316
1 11 135.99223
1 12 114.70461
1 13 115.03774
1 14 101.18688
1 15 151.58961
1 16 119.52250
1 17 158.36690
1 18 106.90131
1 19 92.49635
1 20 133.77144
1 21 111.87502
1 22 120.58794
1 23 146.96426
1 24 87.10237
1 25 155.00432
1 26 133.28589
1 27 129.57378
1 28 109.08174
1 29 145.00456
2 3 157.71091
2 4 197.32967
2 5 196.86990
2 6 144.52675
2 7 144.07170
2 8 171.30730
2 9 130.58112
2 10 190.69266
2 11 149.63918
2 12 162.86232
2 13 191.87991
2 14 146.02794
2 15 145.46991
2 16 143.97144
2 17 157.66890
2 18 199.37810
2 19 186.56979
2 20 156.98412
2 21 118.60453
2 22 153.96373
2 23 156.76630
2 24 177.91315
2 25 161.67204
2 26 152.52800
2 27 152.81592
2 28 171.30383
2 29 154.41856
3 4 153.40205
3 5 108.56338
3 6 113.33327
3 7 138.14946
3 8 127.09581
3 9 134.40962
3 10 124.80906
3 11 110.50674
3 12 149.48392
3 13 157.73257
3 14 128.91570
3 15 182.83264
3 16 129.52094
3 17 123.11404
3 18 122.27942
3 19 185.54253
3 20 86.84127
3 21 141.47699
3 22 119.09933
3 23 119.79599
3 24 149.66580
3 25 132.46552
3 26 127.17694
3 27 136.30756
3 28 127.95560
3 29 139.70662
4 5 114.02125
4 6 160.44348
4 7 106.66406
4 8 150.95023
4 9 158.84743
4 10 151.24559
4 11 122.08643
4 12 147.38170
4 13 134.76321
4 14 169.58846
4 15 157.63580
4 16 127.76710
4 17 151.42622
4 18 119.95594
4 19 169.61752
4 20 170.59212
4 21 157.46872
4 22 119.68131
4 23 100.58349
4 24 100.78850
4 25 149.12856
4 26 168.77585
4 27 114.85617
4 28 113.48678
4 29 125.13234
5 6 130.40439
5 7 114.88293
5 8 116.76701
5 9 137.64293
5 10 147.29488
5 11 146.99278
5 12 142.88983
5 13 125.65954
5 14 158.88860
5 15 171.29126
5 16 143.28748
5 17 173.39537
5 18 114.84015
5 19 189.73074
5 20 140.88991
5 21 157.77589
5 22 75.96162
5 23 111.01987
5 24 133.81641
5 25 138.06955
5 26 165.65034
5 27 128.08598
5 28 113.55226
5 29 166.63881
6 7 139.75533
6 8 149.74799
6 9 132.15594
6 10 103.37017
6 11 151.12515
6 12 102.78516
6 13 133.77850
6 14 112.35171
6 15 127.58763
6 16 151.73576
6 17 143.62776
6 18 141.55322
6 19 120.74026
6 20 112.05901
6 21 111.39919
6 22 112.89104
6 23 140.74384
6 24 155.20186
6 25 174.67267
6 26 109.52213
6 27 136.77521
6 28 115.04329
6 29 121.14038
7 8 157.67197
7 9 120.69756
7 10 147.60542
7 11 113.66954
7 12 144.60637
7 13 144.10107
7 14 143.45656
7 15 128.77527
7 16 100.55377
7 17 133.72031
7 18 115.54510
7 19 151.80591
7 20 149.30151
7 21 110.36327
7 22 70.78004
7 23 111.12076
7 24 98.11673
7 25 128.18466
7 26 138.75493
7 27 122.70097
7 28 129.64824
7 29 147.05563
8 9 128.09395
8 10 173.14415
8 11 151.16667
8 12 171.77576
8 13 126.99857
8 14 183.18768
8 15 173.11362
8 16 153.02563
8 17 188.92825
8 18 188.60626
8 19 211.87433
8 20 146.63249
8 21 152.37335
8 22 143.01082
8 23 142.59827
8 24 156.43929
8 25 148.99908
8 26 202.16350
8 27 127.50943
8 28 146.30655
8 29 165.48758
9 10 137.93719
9 11 152.64093
9 12 130.19748
9 13 104.95986
9 14 140.65114
9 15 150.00850
9 16 131.82446
9 17 160.70035
9 18 166.36409
9 19 166.46883
9 20 127.32832
9 21 116.09934
9 22 123.11377
9 23 161.79094
9 24 104.10120
9 25 128.81046
9 26 141.85840
9 27 122.53504
9 28 142.82257
9 29 139.33145
10 11 135.33603
10 12 138.72850
10 13 147.04967
10 14 128.87015
10 15 157.26419
10 16 173.40924
10 17 104.87689
10 18 131.42091
10 19 138.14597
10 20 101.03309
10 21 129.22606
10 22 137.81010
10 23 166.91405
10 24 133.34431
10 25 168.03290
10 26 100.60208
10 27 165.21156
10 28 133.18542
10 29 97.29330
11 12 174.64619
11 13 172.80122
11 14 131.38953
11 15 151.25995
11 16 125.05409
11 17 94.37038
11 18 114.92793
11 19 168.05855
11 20 123.45525
11 21 123.71760
11 22 124.41177
11 23 115.58078
11 24 128.94514
11 25 123.81123
11 26 143.35558
11 27 151.92960
11 28 120.54065
11 29 125.28693
12 13 144.07794
12 14 121.33609
12 15 161.49818
12 16 134.70802
12 17 179.11162
12 18 165.23448
12 19 135.16833
12 20 133.14989
12 21 146.93523
12 22 127.76886
12 23 125.77085
12 24 132.32072
12 25 167.07860
12 26 122.95065
12 27 98.88779
12 28 107.97120
12 29 137.93764
13 14 158.25478
13 15 146.14726
13 16 143.58308
13 17 197.13033
13 18 155.53186
13 19 152.68391
13 20 163.59096
13 21 132.49271
13 22 134.56825
13 23 169.01320
13 24 105.52386
13 25 160.98717
13 26 182.39040
13 27 127.82603
13 28 130.25092
13 29 154.30083
14 15 132.28026
14 16 127.73565
14 17 154.39262
14 18 137.81409
14 19 153.33734
14 20 92.81178
14 21 100.74553
14 22 114.61187
14 23 131.95050
14 24 145.97749
14 25 114.15727
14 26 108.57499
14 27 153.24167
14 28 92.08787
14 29 144.97722
15 16 151.09961
15 17 167.28238
15 18 176.86049
15 19 148.12421
15 20 155.52832
15 21 109.27850
15 22 125.80912
15 23 163.59250
15 24 164.86584
15 25 160.27290
15 26 147.67558
15 27 178.23077
15 28 119.16795
15 29 143.24634
16 17 166.48058
16 18 151.72136
16 19 164.62206
16 20 136.15691
16 21 126.97112
16 22 121.03161
16 23 104.93383
16 24 111.32287
16 25 115.77869
16 26 150.99091
16 27 100.79594
16 28 117.99442
16 29 160.72266
17 18 136.03247
17 19 172.84023
17 20 127.79007
17 21 143.59854
17 22 151.66396
17 23 156.17848
17 24 156.06236
17 25 167.64980
17 26 102.75552
17 27 178.38936
17 28 161.39189
17 29 90.74627
18 19 156.51572
18 20 157.43001
18 21 145.44800
18 22 101.89120
18 23 131.06296
18 24 123.29774
18 25 156.15141
18 26 148.10951
18 27 158.99361
18 28 128.09143
18 29 153.97820
19 20 178.71666
19 21 141.11763
19 22 161.60732
19 23 188.21457
19 24 140.16226
19 25 221.34296
19 26 152.60211
19 27 165.42546
19 28 149.34563
19 29 156.21945
20 21 128.36214
20 22 127.19611
20 23 139.13881
20 24 154.46382
20 25 114.94988
20 26 96.66344
20 27 155.39444
20 28 109.64448
20 29 130.74678
21 22 109.41232
21 23 140.60779
21 24 121.21748
21 25 130.76076
21 26 144.31956
21 27 134.33545
21 28 135.21928
21 29 136.82881
22 23 96.78128
22 24 120.90395
22 25 112.70120
22 26 134.87885
22 27 127.50542
22 28 97.92664
22 29 154.51915
23 24 136.91121
23 25 119.08757
23 26 155.55110
23 27 94.96656
23 28 101.99916
23 29 146.96187
24 25 135.15948
24 26 159.82584
24 27 100.50745
24 28 131.76543
24 29 138.78584
25 26 158.43436
25 27 148.36363
25 28 118.76127
25 29 166.35712
26 27 170.69188
26 28 128.97632
26 29 107.76324
27 28 133.29613
27 29 145.22229
28 29 134.02380
