 50 5 120
 1 9 59 15
 2 5 26 1
 3 66 78 19
 4 18 75 12
 5 70 88 11
 6 98 63 19
 7 9 81 5
 8 13 50 10
 9 19 83 16
 10 85 3 1
 11 40 47 3
 12 14 31 8
 13 8 50 6
 14 2 51 1
 15 63 98 8
 16 44 39 6
 17 80 39 10
 18 86 3 7
 19 44 42 6
 20 65 47 16
 21 32 61 16
 22 63 33 19
 23 80 24 13
 24 59 64 8
 25 38 4 11
 26 62 25 19
 27 39 58 17
 28 29 71 2
 29 48 45 18
 30 49 49 1
 31 58 61 5
 32 8 87 17
 33 49 50 15
 34 77 84 17
 35 25 75 6
 36 100 92 9
 37 3 70 10
 38 54 77 2
 39 16 89 2
 40 29 85 6
 41 46 37 19
 42 32 57 14
 43 9 49 13
 44 18 86 14
 45 58 41 4
 46 14 80 15
 47 65 63 10
 48 72 91 11
 49 7 13 14
 50 78 28 10

