 50 5 120
 1 2 82 8
 2 33 60 12
 3 84 15 4
 4 41 21 10
 5 8 17 10
 6 13 73 16
 7 51 66 16
 8 56 74 9
 9 8 63 11
 10 55 17 3
 11 17 12 12
 12 55 85 3
 13 93 74 18
 14 21 64 10
 15 20 95 15
 16 83 19 20
 17 82 47 6
 18 61 50 17
 19 29 38 12
 20 38 89 13
 21 23 91 11
 22 22 87 17
 23 1 82 13
 24 14 20 2
 25 52 92 12
 26 72 11 13
 27 97 22 12
 28 50 41 2
 29 20 65 12
 30 35 89 13
 31 76 34 11
 32 14 42 5
 33 97 5 12
 34 57 55 16
 35 51 98 9
 36 88 51 14
 37 37 33 6
 38 80 95 6
 39 18 12 14
 40 91 74 20
 41 17 29 20
 42 44 82 17
 43 48 1 2
 44 3 72 18
 45 37 68 15
 46 100 45 8
 47 57 22 13
 48 20 75 18
 49 99 42 16
 50 45 86 2

