 50 5 120
 1 1 46 4
 2 16 15 16
 3 39 67 6
 4 82 75 16
 5 95 38 12
 6 62 52 19
 7 77 92 6
 8 14 100 9
 9 7 16 4
 10 23 23 12
 11 40 43 1
 12 1 73 9
 13 88 44 4
 14 86 2 11
 15 51 69 12
 16 30 68 14
 17 28 87 2
 18 34 63 7
 19 72 27 3
 20 84 18 5
 21 16 9 1
 22 99 1 15
 23 72 20 11
 24 79 22 18
 25 79 79 12
 26 32 92 15
 27 72 3 5
 28 12 14 20
 29 78 49 10
 30 90 5 11
 31 60 4 19
 32 43 64 9
 33 85 50 19
 34 44 50 14
 35 67 27 13
 36 76 25 15
 37 19 63 9
 38 2 75 10
 39 16 50 13
 40 75 26 14
 41 53 91 20
 42 57 4 10
 43 44 24 16
 44 92 10 13
 45 98 28 11
 46 47 20 14
 47 83 52 13
 48 14 12 7
 49 40 14 18
 50 39 93 5

