 50 5 120
 1 26 33 2
 2 25 62 17
 3 90 11 7
 4 39 72 5
 5 70 18 12
 6 92 71 13
 7 82 24 16
 8 83 5 12
 9 56 40 18
 10 89 28 8
 11 56 88 8
 12 29 41 4
 13 26 41 12
 14 30 50 20
 15 4 58 11
 16 13 78 3
 17 50 92 5
 18 42 69 12
 19 87 41 20
 20 5 68 4
 21 27 64 6
 22 11 67 13
 23 52 88 19
 24 36 49 7
 25 64 87 3
 26 42 63 2
 27 19 83 13
 28 49 26 7
 29 22 20 4
 30 45 32 9
 31 36 20 3
 32 61 95 8
 33 33 93 20
 34 34 82 4
 35 3 82 4
 36 51 5 6
 37 80 61 18
 38 43 64 3
 39 64 10 16
 40 63 78 17
 41 49 43 14
 42 72 34 19
 43 71 60 20
 44 27 54 20
 45 55 52 17
 46 33 46 20
 47 12 66 19
 48 2 95 14
 49 24 29 19
 50 36 7 6

