 100 10 120
 1 2 4 17
 2 98 70 18
 3 88 78 5
 4 20 49 6
 5 14 77 17
 6 19 47 6
 7 77 38 7
 8 54 53 2
 9 98 13 12
 10 41 47 15
 11 40 63 11
 12 44 98 13
 13 16 60 13
 14 44 43 6
 15 35 56 7
 16 18 47 5
 17 93 29 10
 18 24 7 20
 19 7 23 9
 20 86 12 4
 21 64 33 3
 22 15 8 14
 23 11 7 2
 24 17 18 1
 25 32 68 6
 26 72 97 14
 27 62 68 18
 28 83 62 17
 29 55 40 4
 30 30 86 7
 31 2 5 16
 32 76 69 17
 33 46 38 17
 34 23 26 8
 35 82 24 15
 36 91 36 2
 37 89 42 20
 38 84 72 8
 39 69 50 4
 40 75 73 19
 41 79 86 20
 42 99 51 9
 43 68 79 1
 44 52 37 8
 45 79 56 17
 46 41 10 7
 47 60 77 3
 48 12 61 19
 49 97 37 3
 50 70 75 1
 51 67 22 5
 52 65 72 15
 53 77 1 12
 54 98 87 20
 55 26 93 13
 56 76 14 12
 57 15 42 9
 58 28 43 5
 59 89 93 14
 60 53 49 9
 61 89 46 15
 62 57 25 12
 63 39 27 16
 64 16 64 16
 65 10 18 16
 66 53 29 12
 67 25 19 6
 68 31 68 16
 69 94 44 3
 70 94 76 6
 71 14 71 2
 72 8 81 12
 73 45 96 11
 74 83 34 3
 75 66 67 10
 76 78 19 17
 77 66 86 13
 78 26 15 7
 79 23 22 3
 80 25 71 20
 81 82 60 14
 82 81 81 5
 83 22 78 3
 84 2 72 14
 85 87 38 18
 86 79 34 11
 87 19 31 17
 88 3 67 13
 89 5 95 19
 90 6 6 3
 91 41 18 19
 92 12 71 5
 93 71 88 16
 94 61 37 2
 95 50 39 12
 96 15 22 11
 97 36 27 6
 98 79 52 13
 99 28 21 14
 100 85 29 8

