 100 10 120
 1 13 11 4
 2 36 98 6
 3 18 51 18
 4 39 1 13
 5 89 88 9
 6 33 36 7
 7 6 80 2
 8 46 82 3
 9 21 78 12
 10 92 56 15
 11 21 17 14
 12 4 70 17
 13 80 79 10
 14 31 5 15
 15 93 24 16
 16 56 52 7
 17 50 72 15
 18 1 23 1
 19 8 69 9
 20 42 16 18
 21 62 78 14
 22 47 6 18
 23 22 79 15
 24 10 84 13
 25 51 59 13
 26 37 63 16
 27 11 38 6
 28 13 41 17
 29 36 60 19
 30 62 65 8
 31 24 32 5
 32 65 57 17
 33 9 5 18
 34 5 87 18
 35 65 30 5
 36 66 1 10
 37 51 21 15
 38 77 47 14
 39 91 18 3
 40 3 51 10
 41 63 23 4
 42 19 38 8
 43 27 69 2
 44 8 98 9
 45 19 27 14
 46 81 49 18
 47 1 63 20
 48 99 39 17
 49 30 17 9
 50 62 89 4
 51 96 45 17
 52 75 74 5
 53 36 54 17
 54 21 95 4
 55 27 29 5
 56 92 82 7
 57 14 23 2
 58 60 38 13
 59 28 51 20
 60 99 6 20
 61 100 33 1
 62 70 27 13
 63 65 56 19
 64 49 21 9
 65 35 53 20
 66 51 99 1
 67 61 35 6
 68 76 100 12
 69 28 96 3
 70 96 5 12
 71 47 5 8
 72 39 73 3
 73 39 43 20
 74 50 97 6
 75 28 35 5
 76 38 82 6
 77 78 17 18
 78 30 94 5
 79 63 8 19
 80 97 23 9
 81 25 92 1
 82 20 61 6
 83 77 32 13
 84 17 93 11
 85 66 56 14
 86 35 61 3
 87 76 1 4
 88 96 19 19
 89 55 7 9
 90 44 19 5
 91 93 85 3
 92 19 87 15
 93 84 4 14
 94 76 68 7
 95 45 79 5
 96 15 65 4
 97 80 49 3
 98 86 92 5
 99 13 81 20
 100 88 17 14

