 100 10 120
 1 90 32 5
 2 82 53 19
 3 90 60 13
 4 22 98 12
 5 72 67 14
 6 71 22 20
 7 63 76 11
 8 67 85 1
 9 86 36 14
 10 63 7 17
 11 34 38 5
 12 71 22 20
 13 95 32 18
 14 13 77 16
 15 79 62 13
 16 35 4 12
 17 77 8 6
 18 97 16 20
 19 60 77 20
 20 26 2 8
 21 89 8 16
 22 9 10 14
 23 99 72 20
 24 56 55 15
 25 90 78 11
 26 68 83 20
 27 10 30 2
 28 79 92 16
 29 39 76 17
 30 59 69 9
 31 3 62 10
 32 9 10 9
 33 61 74 3
 34 74 32 17
 35 64 30 17
 36 53 87 18
 37 76 58 13
 38 88 36 5
 39 92 69 16
 40 65 50 2
 41 5 15 10
 42 44 46 9
 43 12 92 3
 44 20 69 16
 45 40 17 16
 46 62 82 5
 47 57 3 11
 48 3 16 7
 49 83 3 6
 50 62 13 8
 51 16 96 9
 52 22 47 4
 53 54 45 5
 54 11 100 13
 55 52 43 2
 56 34 48 5
 57 70 19 13
 58 82 72 6
 59 87 89 14
 60 91 4 7
 61 89 60 17
 62 41 58 10
 63 60 26 8
 64 13 31 4
 65 26 16 17
 66 45 54 6
 67 47 74 11
 68 63 37 20
 69 36 97 19
 70 60 38 1
 71 60 45 1
 72 61 37 15
 73 64 12 1
 74 2 26 12
 75 1 7 14
 76 99 6 19
 77 70 5 7
 78 92 78 14
 79 100 41 9
 80 86 73 5
 81 17 83 5
 82 31 36 15
 83 5 89 10
 84 6 72 3
 85 26 38 7
 86 97 21 8
 87 61 98 5
 88 98 19 18
 89 9 60 9
 90 56 57 15
 91 36 59 15
 92 52 46 4
 93 60 51 15
 94 92 54 4
 95 31 35 1
 96 28 74 3
 97 23 21 1
 98 62 27 10
 99 56 89 12
 100 88 29 20

