15 9
0 1 168.18925
0 2 175.61476
0 3 209.52974
0 4 213.83986
0 5 156.05602
0 6 188.38559
0 7 184.84419
0 8 171.73982
0 9 195.30533
0 10 200.58791
0 11 211.22450
0 12 193.81535
0 13 171.59268
0 14 170.24559
1 2 147.13907
1 3 197.56599
1 4 175.14841
1 5 157.21886
1 6 229.63960
1 7 179.49939
1 8 179.92505
1 9 173.98415
1 10 175.38840
1 11 144.13104
1 12 170.33910
1 13 164.76485
1 14 194.36023
2 3 184.52521
2 4 202.72058
2 5 192.56900
2 6 202.73778
2 7 139.97386
2 8 220.19720
2 9 166.56516
2 10 221.33057
2 11 183.22052
2 12 219.70264
2 13 151.40784
2 14 216.96159
3 4 186.08345
3 5 183.72710
3 6 190.30145
3 7 202.85693
3 8 194.65022
3 9 120.87550
3 10 188.76332
3 11 204.03154
3 12 232.60481
3 13 190.04167
3 14 195.38156
4 5 188.84212
4 6 230.55539
4 7 216.22940
4 8 227.41377
4 9 187.51813
4 10 185.44388
4 11 184.87311
4 12 192.33475
4 13 137.65144
4 14 194.59149
5 6 171.64729
5 7 157.75235
5 8 153.56287
5 9 172.51848
5 10 169.43575
5 11 185.89621
5 12 176.51515
5 13 164.55228
5 14 157.13631
6 7 204.01883
6 8 231.38522
6 9 189.76532
6 10 163.58987
6 11 255.65143
6 12 218.04401
6 13 197.12262
6 14 210.50284
7 8 193.22160
7 9 179.77501
7 10 217.85335
7 11 215.54338
7 12 194.91840
7 13 180.44966
7 14 182.76886
8 9 157.99118
8 10 192.81271
8 11 170.27463
8 12 195.25592
8 13 199.27910
8 14 139.35162
9 10 173.13745
9 11 178.89517
9 12 176.30551
9 13 185.55226
9 14 178.16373
10 11 214.61816
10 12 143.66077
10 13 198.00998
10 14 162.32593
11 12 228.82460
11 13 178.21944
11 14 211.55554
12 13 198.19286
12 14 179.63728
13 14 176.21712
