15 12
0 1 155.31628
0 2 155.03339
0 3 104.00159
0 4 167.68315
0 5 162.35129
0 6 183.83867
0 7 174.82410
0 8 205.59134
0 9 174.88582
0 10 218.37846
0 11 115.03046
0 12 172.30754
0 13 150.74962
0 14 174.17915
1 2 159.71291
1 3 173.44365
1 4 183.23651
1 5 165.19838
1 6 141.66034
1 7 167.23723
1 8 189.41035
1 9 137.88452
1 10 183.23033
1 11 128.51025
1 12 151.88536
1 13 149.88379
1 14 183.16702
2 3 125.62734
2 4 131.42532
2 5 116.04368
2 6 147.69447
2 7 160.66289
2 8 146.83678
2 9 139.17979
2 10 139.33890
2 11 151.00017
2 12 106.25933
2 13 113.85947
2 14 138.69919
3 4 132.04671
3 5 137.47810
3 6 188.59447
3 7 188.77229
3 8 191.65457
3 9 170.09395
3 10 190.73479
3 11 146.27806
3 12 149.69319
3 13 128.84349
3 14 161.36974
4 5 150.00400
4 6 177.42783
4 7 158.53938
4 8 125.18622
4 9 161.02994
4 10 172.85487
4 11 147.34998
4 12 124.01412
4 13 90.51660
4 14 182.03491
5 6 179.27109
5 7 176.79306
5 8 181.20045
5 9 158.60023
5 10 193.94035
5 11 184.72726
5 12 173.96333
5 13 144.39232
5 14 184.14482
6 7 151.38123
6 8 175.28296
6 9 138.61343
6 10 176.59526
6 11 159.88046
6 12 165.62611
6 13 109.14753
6 14 136.00937
7 8 166.53935
7 9 183.44188
7 10 170.75142
7 11 157.07121
7 12 165.59654
7 13 147.00163
7 14 197.44473
8 9 177.14844
8 10 187.45840
8 11 184.22345
8 12 164.70435
8 13 121.40235
8 14 168.62349
9 10 192.88379
9 11 153.34239
9 12 150.81805
9 13 111.08415
9 14 128.24271
10 11 175.52310
10 12 157.91624
10 13 169.80884
10 14 185.06998
11 12 140.55313
11 13 128.33488
11 14 185.50716
12 13 120.83312
12 14 180.88512
13 14 133.55147
