 100 10 120
 1 17 71 8
 2 56 13 5
 3 40 29 10
 4 53 6 20
 5 45 25 15
 6 82 65 16
 7 47 80 8
 8 60 70 6
 9 39 65 20
 10 67 93 2
 11 84 6 13
 12 86 18 3
 13 80 42 18
 14 82 34 17
 15 20 95 20
 16 85 75 8
 17 10 90 9
 18 73 100 18
 19 15 36 17
 20 65 51 6
 21 57 46 7
 22 73 12 12
 23 58 65 1
 24 84 73 3
 25 35 51 8
 26 38 73 15
 27 70 89 2
 28 70 56 13
 29 7 63 7
 30 93 90 9
 31 77 14 7
 32 55 18 18
 33 17 45 6
 34 4 38 14
 35 57 64 14
 36 26 45 9
 37 93 62 9
 38 63 68 7
 39 48 90 18
 40 100 94 10
 41 17 59 13
 42 100 57 8
 43 29 81 3
 44 15 39 9
 45 69 44 19
 46 4 4 15
 47 69 61 9
 48 39 67 11
 49 29 58 1
 50 70 69 12
 51 46 82 17
 52 99 10 10
 53 59 39 8
 54 61 55 5
 55 32 11 8
 56 28 25 18
 57 46 84 9
 58 88 33 10
 59 50 14 13
 60 35 21 15
 61 18 99 4
 62 14 18 8
 63 95 30 19
 64 83 21 3
 65 28 48 4
 66 74 74 6
 67 29 34 20
 68 98 77 2
 69 4 92 9
 70 6 79 4
 71 45 9 3
 72 91 20 12
 73 73 23 12
 74 17 23 10
 75 90 94 13
 76 97 63 7
 77 48 93 4
 78 53 55 13
 79 72 37 10
 80 37 40 17
 81 86 36 10
 82 94 67 2
 83 22 39 5
 84 95 91 11
 85 19 82 7
 86 68 34 7
 87 36 89 7
 88 16 95 16
 89 45 67 5
 90 84 86 18
 91 72 99 11
 92 25 41 20
 93 96 36 9
 94 80 26 19
 95 34 25 15
 96 57 43 13
 97 71 38 13
 98 92 100 13
 99 7 86 3
 100 14 6 8

