 100 10 120
 1 2 62 5
 2 80 25 8
 3 36 88 2
 4 57 23 8
 5 33 17 18
 6 76 43 20
 7 77 85 17
 8 94 6 9
 9 89 11 1
 10 59 72 19
 11 39 82 10
 12 87 24 20
 13 44 76 4
 14 2 83 5
 15 19 43 5
 16 5 27 14
 17 58 72 19
 18 14 50 19
 19 43 18 4
 20 87 7 16
 21 11 56 14
 22 31 16 13
 23 51 94 18
 24 55 13 14
 25 84 57 13
 26 12 2 13
 27 53 33 14
 28 53 10 7
 29 33 32 15
 30 69 67 3
 31 43 5 6
 32 10 75 10
 33 8 26 20
 34 3 1 13
 35 96 22 7
 36 6 48 3
 37 59 22 18
 38 66 69 13
 39 22 50 14
 40 75 21 7
 41 4 81 8
 42 41 97 16
 43 92 34 18
 44 12 64 9
 45 60 84 8
 46 35 100 12
 47 38 2 19
 48 9 9 13
 49 54 59 19
 50 1 58 12
 51 15 66 5
 52 3 66 2
 53 94 10 7
 54 68 30 4
 55 35 27 12
 56 46 86 13
 57 11 29 5
 58 100 17 19
 59 70 55 7
 60 94 73 1
 61 75 16 12
 62 62 65 17
 63 21 80 4
 64 11 31 3
 65 70 81 19
 66 15 13 10
 67 58 69 6
 68 100 62 10
 69 47 42 11
 70 28 87 19
 71 31 96 12
 72 41 2 2
 73 37 22 18
 74 1 34 6
 75 44 9 12
 76 58 7 17
 77 44 37 20
 78 18 3 16
 79 3 87 16
 80 1 77 7
 81 95 72 16
 82 10 66 15
 83 28 94 16
 84 45 26 19
 85 68 62 13
 86 41 86 15
 87 41 30 11
 88 8 99 18
 89 78 55 4
 90 10 30 12
 91 13 62 16
 92 95 24 19
 93 50 77 1
 94 78 20 3
 95 87 67 10
 96 45 19 13
 97 36 90 6
 98 4 31 7
 99 70 56 1
 100 18 34 5
