 100 10 120
 1 6 29 4
 2 84 85 11
 3 44 25 7
 4 27 68 4
 5 45 43 19
 6 55 89 16
 7 64 73 1
 8 80 85 1
 9 53 52 10
 10 29 46 17
 11 22 22 13
 12 99 87 16
 13 51 22 19
 14 17 49 19
 15 76 63 3
 16 94 38 9
 17 5 23 7
 18 29 70 12
 19 38 84 19
 20 30 69 3
 21 7 87 6
 22 37 45 19
 23 55 60 3
 24 73 53 7
 25 16 75 6
 26 57 96 7
 27 69 28 8
 28 53 33 2
 29 79 29 7
 30 46 6 4
 31 41 71 20
 32 54 87 8
 33 7 13 19
 34 30 28 6
 35 41 76 8
 36 15 39 6
 37 36 59 18
 38 33 47 5
 39 10 6 7
 40 51 11 3
 41 38 99 19
 42 38 78 8
 43 94 48 12
 44 98 25 15
 45 19 94 3
 46 64 13 20
 47 37 69 12
 48 70 45 11
 49 73 56 9
 50 55 10 6
 51 55 56 9
 52 38 59 5
 53 10 58 10
 54 99 25 18
 55 68 54 8
 56 31 11 4
 57 52 53 12
 58 58 87 8
 59 6 98 19
 60 44 74 14
 61 97 68 19
 62 15 20 6
 63 86 37 20
 64 84 69 2
 65 56 6 9
 66 50 7 13
 67 51 52 10
 68 14 20 12
 69 49 34 6
 70 21 97 7
 71 83 69 3
 72 31 66 9
 73 81 67 16
 74 77 55 11
 75 85 68 20
 76 57 3 4
 77 79 49 17
 78 78 61 4
 79 27 75 16
 80 44 78 8
 81 2 19 10
 82 44 42 16
 83 65 65 2
 84 9 27 13
 85 17 83 18
 86 17 65 1
 87 29 41 10
 88 78 52 15
 89 44 69 12
 90 39 51 20
 91 76 21 11
 92 55 44 6
 93 74 81 19
 94 58 56 20
 95 16 10 8
 96 1 52 8
 97 49 45 18
 98 45 77 9
 99 2 70 19
 100 44 92 12

