 100 10 120
 1 6 5 12
 2 36 29 7
 3 61 45 1
 4 97 80 11
 5 51 74 1
 6 11 81 3
 7 18 92 4
 8 28 89 18
 9 25 3 12
 10 98 60 17
 11 3 33 12
 12 84 21 13
 13 88 7 10
 14 37 31 8
 15 78 39 13
 16 59 91 17
 17 87 5 14
 18 5 41 19
 19 80 95 2
 20 7 53 1
 21 11 77 5
 22 25 7 8
 23 8 6 12
 24 52 12 19
 25 63 71 15
 26 33 2 15
 27 31 54 18
 28 69 29 3
 29 50 52 1
 30 21 30 12
 31 14 86 9
 32 33 25 6
 33 94 91 2
 34 42 1 18
 35 59 60 12
 36 36 69 19
 37 61 3 14
 38 88 96 15
 39 73 22 9
 40 72 69 12
 41 7 26 2
 42 38 24 2
 43 45 36 6
 44 99 52 7
 45 48 44 12
 46 70 76 18
 47 51 50 17
 48 53 40 18
 49 39 55 19
 50 47 73 19
 51 70 15 5
 52 50 15 13
 53 83 79 7
 54 67 4 18
 55 23 41 17
 56 41 85 1
 57 50 16 19
 58 83 64 9
 59 30 95 14
 60 47 39 12
 61 20 41 1
 62 97 76 4
 63 88 49 7
 64 54 97 2
 65 44 51 17
 66 14 19 19
 67 60 70 20
 68 83 52 13
 69 18 42 1
 70 71 39 6
 71 94 49 8
 72 28 8 12
 73 88 49 17
 74 33 60 5
 75 50 83 15
 76 57 14 18
 77 58 11 11
 78 57 87 7
 79 52 88 1
 80 89 83 2
 81 31 92 1
 82 26 2 10
 83 61 68 3
 84 37 15 8
 85 60 41 17
 86 51 55 11
 87 56 20 5
 88 19 11 4
 89 21 95 9
 90 42 48 6
 91 48 89 11
 92 37 71 14
 93 6 31 6
 94 47 12 13
 95 2 58 4
 96 27 4 18
 97 28 54 16
 98 61 81 7
 99 79 91 10
 100 78 13 4

