 100 10 120
 1 17 14 1
 2 86 33 15
 3 46 54 7
 4 11 62 15
 5 58 45 2
 6 94 14 8
 7 100 24 1
 8 55 29 16
 9 18 65 11
 10 38 55 14
 11 29 9 4
 12 64 44 20
 13 26 14 20
 14 28 92 9
 15 51 17 8
 16 55 32 2
 17 32 55 6
 18 99 13 3
 19 72 6 13
 20 60 97 17
 21 37 29 8
 22 58 55 13
 23 79 15 6
 24 89 70 20
 25 95 2 2
 26 38 44 6
 27 1 81 10
 28 35 97 4
 29 79 14 9
 30 82 83 15
 31 28 55 3
 32 81 73 12
 33 16 12 16
 34 37 80 17
 35 18 15 12
 36 31 17 5
 37 96 81 15
 38 71 23 4
 39 50 66 10
 40 68 92 9
 41 42 72 15
 42 10 95 20
 43 68 36 10
 44 13 70 11
 45 54 18 15
 46 86 36 18
 47 75 70 11
 48 22 39 17
 49 25 48 4
 50 19 47 7
 51 9 9 3
 52 88 53 1
 53 13 91 2
 54 98 40 18
 55 79 73 19
 56 68 30 10
 57 96 76 14
 58 99 25 14
 59 77 29 3
 60 25 89 4
 61 89 28 11
 62 7 53 17
 63 54 59 5
 64 97 33 3
 65 30 54 2
 66 69 89 2
 67 62 17 8
 68 73 74 1
 69 33 23 13
 70 59 38 15
 71 74 84 8
 72 95 5 18
 73 15 40 11
 74 58 15 6
 75 67 12 1
 76 78 15 20
 77 88 19 1
 78 66 48 4
 79 68 67 8
 80 51 43 12
 81 21 42 11
 82 18 40 14
 83 85 65 9
 84 7 82 13
 85 69 13 13
 86 27 64 19
 87 86 91 3
 88 85 23 6
 89 71 13 9
 90 45 4 15
 91 65 34 9
 92 60 45 16
 93 22 40 19
 94 41 45 4
 95 67 89 15
 96 60 45 7
 97 6 47 16
 98 98 97 14
 99 80 76 15
 100 93 19 20

