 100 10 120
 1 3 60 4
 2 68 49 8
 3 81 53 9
 4 62 94 12
 5 1 57 10
 6 7 98 14
 7 24 94 14
 8 59 95 12
 9 19 13 1
 10 70 86 3
 11 94 60 20
 12 66 72 17
 13 70 88 11
 14 98 85 14
 15 4 34 19
 16 47 90 10
 17 71 64 12
 18 97 94 16
 19 51 53 13
 20 91 66 14
 21 83 50 2
 22 30 65 12
 23 90 57 17
 24 11 21 4
 25 72 17 13
 26 72 26 3
 27 32 76 10
 28 18 21 6
 29 84 89 3
 30 41 93 20
 31 51 64 1
 32 51 14 3
 33 47 72 8
 34 90 83 4
 35 21 73 18
 36 86 65 5
 37 86 23 13
 38 76 17 10
 39 67 74 12
 40 7 75 20
 41 55 72 18
 42 89 13 17
 43 28 24 14
 44 54 6 6
 45 94 81 1
 46 59 79 3
 47 54 68 1
 48 28 89 13
 49 1 46 20
 50 21 97 7
 51 4 95 18
 52 76 29 4
 53 23 50 17
 54 60 2 8
 55 79 31 2
 56 37 8 20
 57 65 50 4
 58 17 51 2
 59 62 78 3
 60 62 80 20
 61 17 17 8
 62 65 90 4
 63 81 98 9
 64 2 53 15
 65 8 12 18
 66 57 14 16
 67 93 37 18
 68 56 72 17
 69 66 13 19
 70 42 17 16
 71 85 97 18
 72 5 97 6
 73 4 78 12
 74 42 42 7
 75 89 49 2
 76 96 67 5
 77 26 59 15
 78 13 22 17
 79 27 92 5
 80 11 68 5
 81 47 54 13
 82 58 8 12
 83 59 52 20
 84 90 81 11
 85 37 7 12
 86 21 5 19
 87 68 29 20
 88 35 39 2
 89 79 49 15
 90 46 87 5
 91 48 84 1
 92 78 67 8
 93 46 84 6
 94 100 18 17
 95 17 76 12
 96 13 20 18
 97 2 19 3
 98 73 56 12
 99 55 31 2
 100 6 16 16

